,doy,intensity factor
0,1,1.035041
1,2,1.035057807
2,3,1.035063628
3,4,1.03505846
4,5,1.035042309
5,6,1.03501518
6,7,1.034977085
7,8,1.034928039
8,9,1.034868061
9,10,1.034797175
10,11,1.034715407
11,12,1.034622788
12,13,1.034519353
13,14,1.034405141
14,15,1.034280195
15,16,1.034144562
16,17,1.033998291
17,18,1.033841436
18,19,1.033674057
19,20,1.033496214
20,21,1.033307973
21,22,1.033109403
22,23,1.032900577
23,24,1.032681571
24,25,1.032452466
25,26,1.032213343
26,27,1.031964292
27,28,1.031705401
28,29,1.031436764
29,30,1.03115848
30,31,1.030870647
31,32,1.030573371
32,33,1.030266756
33,34,1.029950915
34,35,1.029625958
35,36,1.029292004
36,37,1.02894917
37,38,1.028597578
38,39,1.028237354
39,40,1.027868625
40,41,1.027491521
41,42,1.027106174
42,43,1.026712722
43,44,1.026311301
44,45,1.025902053
45,46,1.025485119
46,47,1.025060646
47,48,1.024628781
48,49,1.024189674
49,50,1.023743475
50,51,1.02329034
51,52,1.022830425
52,53,1.022363886
53,54,1.021890883
54,55,1.021411578
55,56,1.020926134
56,57,1.020434716
57,58,1.019937489
58,59,1.019434621
59,60,1.018926282
60,61,1.018412641
61,62,1.01789387
62,63,1.017370143
63,64,1.016841632
64,65,1.016308513
65,66,1.015770962
66,67,1.015229155
67,68,1.014683271
68,69,1.014133486
69,70,1.01357998
70,71,1.013022933
71,72,1.012462525
72,73,1.011898936
73,74,1.011332347
74,75,1.010762939
75,76,1.010190893
76,77,1.009616392
77,78,1.009039616
78,79,1.008460748
79,80,1.007879968
80,81,1.00729746
81,82,1.006713403
82,83,1.006127979
83,84,1.00554137
84,85,1.004953754
85,86,1.004365314
86,87,1.003776227
87,88,1.003186674
88,89,1.002596832
89,90,1.00200688
90,91,1.001416995
91,92,1.000827352
92,93,1.000238128
93,94,0.999649497
94,95,0.999061633
95,96,0.998474708
96,97,0.997888895
97,98,0.997304363
98,99,0.996721283
99,100,0.996139823
100,101,0.99556015
101,102,0.99498243
102,103,0.994406828
103,104,0.993833506
104,105,0.993262627
105,106,0.992694351
106,107,0.992128838
107,108,0.991566244
108,109,0.991006726
109,110,0.990450438
110,111,0.989897534
111,112,0.989348164
112,113,0.988802478
113,114,0.988260623
114,115,0.987722747
115,116,0.987188994
116,117,0.986659506
117,118,0.986134424
118,119,0.985613888
119,120,0.985098035
120,121,0.984587
121,122,0.984080917
122,123,0.983579917
123,124,0.983084131
124,125,0.982593686
125,126,0.982108709
126,127,0.981629323
127,128,0.98115565
128,129,0.980687811
129,130,0.980225923
130,131,0.979770104
131,132,0.979320465
132,133,0.978877121
133,134,0.978440181
134,135,0.978009753
135,136,0.977585942
136,137,0.977168854
137,138,0.976758589
138,139,0.976355248
139,140,0.975958928
140,141,0.975569726
141,142,0.975187735
142,143,0.974813045
143,144,0.974445748
144,145,0.974085931
145,146,0.973733678
146,147,0.973389073
147,148,0.973052198
148,149,0.972723132
149,150,0.972401951
150,151,0.972088732
151,152,0.971783546
152,153,0.971486465
153,154,0.971197558
154,155,0.970916891
155,156,0.97064453
156,157,0.970380536
157,158,0.970124972
158,159,0.969877895
159,160,0.969639361
160,161,0.969409427
161,162,0.969188143
162,163,0.968975561
163,164,0.968771728
164,165,0.968576692
165,166,0.968390497
166,167,0.968213185
167,168,0.968044796
168,169,0.967885369
169,170,0.967734939
170,171,0.967593543
171,172,0.967461211
172,173,0.967337973
173,174,0.967223859
174,175,0.967118895
175,176,0.967023104
176,177,0.966936509
177,178,0.96685913
178,179,0.966790986
179,180,0.966732092
180,181,0.966682463
181,182,0.966642111
182,183,0.966611047
183,184,0.966589278
184,185,0.966576811
185,186,0.96657365
186,187,0.966579797
187,188,0.966595253
188,189,0.966620015
189,190,0.966654079
190,191,0.966697441
191,192,0.966750091
192,193,0.966812021
193,194,0.966883218
194,195,0.966963667
195,196,0.967053354
196,197,0.96715226
197,198,0.967260364
198,199,0.967377646
199,200,0.967504079
200,201,0.967639639
201,202,0.967784297
202,203,0.967938022
203,204,0.968100782
204,205,0.968272542
205,206,0.968453266
206,207,0.968642914
207,208,0.968841447
208,209,0.96904882
209,210,0.969264989
210,211,0.969489906
211,212,0.969723523
212,213,0.969965787
213,214,0.970216645
214,215,0.970476041
215,216,0.970743917
216,217,0.971020213
217,218,0.971304868
218,219,0.971597815
219,220,0.97189899
220,221,0.972208322
221,222,0.972525741
222,223,0.972851174
223,224,0.973184546
224,225,0.973525779
225,226,0.973874794
226,227,0.974231507
227,228,0.974595837
228,229,0.974967695
229,230,0.975346994
230,231,0.975733643
231,232,0.976127549
232,233,0.976528617
233,234,0.97693675
234,235,0.977351848
235,236,0.977773811
236,237,0.978202533
237,238,0.978637909
238,239,0.979079831
239,240,0.979528189
240,241,0.979982871
241,242,0.98044376
242,243,0.980910742
243,244,0.981383698
244,245,0.981862505
245,246,0.982347042
246,247,0.982837183
247,248,0.983332801
248,249,0.983833767
249,250,0.984339949
250,251,0.984851215
251,252,0.985367429
252,253,0.985888454
253,254,0.986414151
254,255,0.986944378
255,256,0.987478993
256,257,0.988017851
257,258,0.988560805
258,259,0.989107707
259,260,0.989658406
260,261,0.99021275
261,262,0.990770585
262,263,0.991331756
263,264,0.991896106
264,265,0.992463476
265,266,0.993033705
266,267,0.993606632
267,268,0.994182093
268,269,0.994759923
269,270,0.995339955
270,271,0.995922023
271,272,0.996505956
272,273,0.997091586
273,274,0.997678739
274,275,0.998267243
275,276,0.998856925
276,277,0.999447608
277,278,1.000039118
278,279,1.000631277
279,280,1.001223906
280,281,1.001816828
281,282,1.002409861
282,283,1.003002827
283,284,1.003595543
284,285,1.004187827
285,286,1.004779498
286,287,1.005370373
287,288,1.005960266
288,289,1.006548996
289,290,1.007136378
290,291,1.007722228
291,292,1.00830636
292,293,1.00888859
293,294,1.009468734
294,295,1.010046606
295,296,1.010622022
296,297,1.011194797
297,298,1.011764747
298,299,1.012331688
299,300,1.012895436
300,301,1.013455808
301,302,1.014012621
302,303,1.014565693
303,304,1.015114843
304,305,1.01565989
305,306,1.016200653
306,307,1.016736954
307,308,1.017268615
308,309,1.017795458
309,310,1.018317308
310,311,1.01883399
311,312,1.01934533
312,313,1.019851156
313,314,1.020351298
314,315,1.020845586
315,316,1.021333852
316,317,1.021815931
317,318,1.022291657
318,319,1.02276087
319,320,1.023223407
320,321,1.023679109
321,322,1.024127822
322,323,1.024569388
323,324,1.025003657
324,325,1.025430478
325,326,1.025849702
326,327,1.026261184
327,328,1.026664781
328,329,1.027060352
329,330,1.027447759
330,331,1.027826866
331,332,1.028197541
332,333,1.028559653
333,334,1.028913076
334,335,1.029257684
335,336,1.029593357
336,337,1.029919976
337,338,1.030237425
338,339,1.030545593
339,340,1.03084437
340,341,1.03113365
341,342,1.031413331
342,343,1.031683314
343,344,1.031943502
344,345,1.032193803
345,346,1.032434129
346,347,1.032664393
347,348,1.032884514
348,349,1.033094414
349,350,1.033294017
350,351,1.033483253
351,352,1.033662055
352,353,1.033830358
353,354,1.033988103
354,355,1.034135234
355,356,1.034271698
356,357,1.034397449
357,358,1.03451244
358,359,1.034616631
359,360,1.034709986
360,361,1.034792472
361,362,1.034864061
362,363,1.034924726
363,364,1.034974449
364,365,1.035013211
